Temperature (K),Luminosity (L/Lo),Radius (R/Ro),Absolute magnitude (Mv),Star type,Star category,Star color,Spectral Class
19920,0.00156,0.0142,11.34,2,White Dwarf,Blue,B
2600,0.0003,0.102,18.7,0,Brown Dwarf,Red,M
14982,0.00118,0.0113,12.23,2,White Dwarf,Blue,B
33300,240000.0,12.0,-6.5,4,Supergiant,Blue,B
11250,672.0,6.98,-2.3,3,Main Sequence,Blue White,A
9030,45.0,2.63,1.45,3,Main Sequence,Blue White,A
3500,138000.0,1420.0,-8.18,5,Hypergiant,Red,M
3834,272000.0,1183.0,-9.2,5,Hypergiant,Red,M
7100,0.00029,0.012,14.09,2,White Dwarf,White Yellow,F
5587,0.819,0.99,5.03,3,Main Sequence,Yellowish White,F
12098,689.0,7.01,0.02,3,Main Sequence,Blue White,A
26140,14520.0,5.49,-3.8,3,Main Sequence,Blue White,B
3399,117000.0,1486.0,-10.92,5,Hypergiant,Red,M
17200,0.00098,0.015,12.45,2,White Dwarf,Blue White,B
26140,14520.0,5.49,-3.8,3,Main Sequence,Blue White,B
3100,0.008,0.31,11.17,1,Red Dwarf,Red,M
3574,200000.0,89.0,-5.24,4,Supergiant,Red,M
18340,0.00134,0.0124,11.22,2,White Dwarf,Blue,B
4526,0.153,0.865,6.506,3,Main Sequence,Yellowish,K
17920,0.00111,0.0106,11.66,2,White Dwarf,Blue,B
8500,0.0005,0.01,14.5,2,White Dwarf,White,A
15276,1136.0,7.2,-1.97,3,Main Sequence,Blue White,B
5800,0.81,0.9,5.05,3,Main Sequence,Yellowish White,F
3342,0.0015,0.307,11.87,1,Red Dwarf,Red,M
2871,0.00072,0.12,19.43,0,Brown Dwarf,Red,M
7282,131000.0,24.0,-7.22,4,Supergiant,Blue,O
11096,112000.0,12.0,-5.91,4,Supergiant,Blue,O
26000,316000.0,1679.0,-9.1,5,Hypergiant,Blue,B
16390,1278.0,5.68,-3.32,3,Main Sequence,Blue White,B
2983,0.00024,0.094,16.09,0,Brown Dwarf,Red,M
3295,0.00098,0.132,17.13,0,Brown Dwarf,Red,M
3365,340000.0,23.0,-6.2,4,Supergiant,Red,M
3750,283000.0,1260.0,-7.63,5,Hypergiant,Red,M
3600,240000.0,1190.0,-7.89,5,Hypergiant,Red,M
5936,1.357,1.106,4.46,3,Main Sequence,Yellowish White,F
2935,0.00087,0.0932,16.88,0,Brown Dwarf,Red,M
3542,0.0009,0.62,14.23,1,Red Dwarf,Red,M
3625,184000.0,84.0,-6.74,4,Supergiant,Red,M
11250,672.0,6.98,-2.3,3,Main Sequence,Blue White,A
7220,0.00017,0.011,14.23,2,White Dwarf,White,F
3192,0.00362,0.1967,13.53,1,Red Dwarf,Red,M
18000,200000.0,1045.0,-8.3,5,Hypergiant,Blue,O
9235,404940.0,1112.0,-11.23,5,Hypergiant,White,A
22350,12450.0,6.36,-3.67,3,Main Sequence,Blue White,B
2840,0.00065,0.11,16.98,0,Brown Dwarf,Red,M
3225,0.00076,0.121,19.63,0,Brown Dwarf,Red,M
2731,0.000437,0.0856,18.09,0,Brown Dwarf,Red,M
3511,0.00064,0.109,17.12,0,Brown Dwarf,Red,M
3091,0.0081,0.24,11.43,1,Red Dwarf,Red,M
3749,550000.0,1648.0,-8.05,5,Hypergiant,Orange,M
7700,0.00011,0.0128,14.47,2,White Dwarf,Yellowish White,F
3605,126000.0,1124.0,-10.81,5,Hypergiant,Red,M
3212,0.0016,0.378,12.854,1,Red Dwarf,Red,M
11567,251000.0,36.0,-6.245,4,Supergiant,Blue,O
24345,142000.0,57.0,-6.24,4,Supergiant,Blue,O
13340,0.00109,0.0116,12.9,2,White Dwarf,Blue,B
3607,0.00023,0.38,10.34,1,Red Dwarf,Red,M
9700,74.0,2.89,0.16,3,Main Sequence,White,B
17200,0.00098,0.015,12.45,2,White Dwarf,Blue White,B
8927,239000.0,35.0,-7.34,4,Supergiant,Blue,O
2800,0.0002,0.16,16.65,0,Brown Dwarf,Red,M
14060,1092.0,5.745,-2.04,3,Main Sequence,Blue White,A
23000,127000.0,36.0,-5.76,4,Supergiant,Blue,O
26140,14520.0,5.49,-3.8,3,Main Sequence,Blue White,B
3419,0.000245,0.126,17.56,0,Brown Dwarf,Red,M
2700,0.00018,0.13,16.05,0,Brown Dwarf,Red,M
21020,0.0015,0.0112,11.52,2,White Dwarf,Blue,B
3598,0.0011,0.56,14.26,1,Red Dwarf,Red,M
7100,0.00029,0.012,14.09,2,White Dwarf,White Yellow,F
3625,184000.0,84.0,-6.74,4,Supergiant,Red,M
25070,14500.0,5.92,-3.98,3,Main Sequence,Blue White,B
7740,0.00049,0.01234,14.02,2,White Dwarf,White,A
8500,0.0005,0.01,14.5,2,White Dwarf,White,A
9373,424520.0,24.0,-5.99,4,Supergiant,Blue,O
23092,0.00132,0.0104,10.18,2,White Dwarf,Blue,B
2600,0.0003,0.102,18.7,0,Brown Dwarf,Red,M
3752,209000.0,955.0,-11.24,5,Hypergiant,Red,M
3342,0.0015,0.307,11.87,1,Red Dwarf,Red,M
2831,0.000231,0.0915,16.21,0,Brown Dwarf,Red,M
3553,145000.0,1324.0,-11.03,5,Hypergiant,Red,M
37882,294903.0,1783.0,-7.8,5,Hypergiant,Blue,O
2817,0.00098,0.0911,16.45,0,Brown Dwarf,Red,M
2800,0.0002,0.16,16.65,0,Brown Dwarf,Red,M
3625,74000.0,876.0,-10.25,5,Hypergiant,Red,M
3575,123000.0,45.0,-6.78,4,Supergiant,Red,M
2935,0.00014,0.116,18.89,0,Brown Dwarf,Red,M
2650,0.00069,0.11,17.45,0,Brown Dwarf,Red,M
6380,1.35,0.98,2.93,3,Main Sequence,Yellowish White,F
3660,363000.0,1673.0,-11.92,5,Hypergiant,Red,M
33421,352000.0,67.0,-5.79,4,Supergiant,Blue,O
3218,0.00054,0.11,20.02,0,Brown Dwarf,Red,M
2856,0.000896,0.0782,19.56,0,Brown Dwarf,Red,M
16390,1278.0,5.68,-3.32,3,Main Sequence,Blue White,B
3459,100000.0,1289.0,-10.7,5,Hypergiant,Red,M
3365,340000.0,23.0,-6.2,4,Supergiant,Red,M
3270,150000.0,88.0,-6.02,4,Supergiant,Red,M
16390,1278.0,5.68,-3.32,3,Main Sequence,Blue White,B
2861,0.00019,0.0899,16.71,0,Brown Dwarf,Red,M
3134,0.0004,0.196,13.21,1,Red Dwarf,Red,M
17140,883.0,5.653,-2.64,3,Main Sequence,Blue White,B
26000,316000.0,1679.0,-9.1,5,Hypergiant,Blue,B
12675,452000.0,83.0,-5.62,4,Supergiant,Blue,O
3192,0.00362,0.1967,13.53,1,Red Dwarf,Red,M
17383,342900.0,30.0,-6.09,4,Supergiant,Blue,O
2989,0.0087,0.34,13.12,1,Red Dwarf,Red,M
3150,0.0088,0.35,11.94,1,Red Dwarf,Red,M
5587,0.819,0.99,5.03,3,Main Sequence,Yellowish White,F
2989,0.0087,0.34,13.12,1,Red Dwarf,Red,M
15276,1136.0,7.2,-1.97,3,Main Sequence,Blue White,B
2914,0.000631,0.116,18.39,0,Brown Dwarf,Red,M
3365,340000.0,23.0,-6.2,4,Supergiant,Red,M
8927,239000.0,35.0,-7.34,4,Supergiant,Blue,O
21020,0.0015,0.0112,11.52,2,White Dwarf,Blue,B
3692,0.00367,0.47,10.8,1,Red Dwarf,Red,M
12100,120000.0,708.9,-7.84,5,Hypergiant,Blue White,B
3134,0.0004,0.196,13.21,1,Red Dwarf,Red,M
19860,0.0011,0.0131,11.34,2,White Dwarf,Blue,B
3610,132000.0,1522.0,-10.86,5,Hypergiant,Red,M
3150,0.0088,0.35,11.94,1,Red Dwarf,Red,M
13023,998.0,6.21,-1.38,3,Main Sequence,Blue White,A
5752,245000.0,97.0,-6.63,4,Supergiant,Blue,O
3511,0.00064,0.109,17.12,0,Brown Dwarf,Red,M
9675,0.00045,0.0109,13.98,2,White Dwarf,Blue White,A
2989,0.0087,0.34,13.12,1,Red Dwarf,Red,M
10012,552.0,5.856,0.013,3,Main Sequence,Blue White,A
24490,248490.0,1134.5,-8.24,5,Hypergiant,Blue White,B
24630,363000.0,63.0,-5.83,4,Supergiant,Blue,O
3500,138000.0,1420.0,-8.18,5,Hypergiant,Red,M
3129,0.0122,0.3761,11.79,1,Red Dwarf,Red,M
23092,0.00132,0.0104,10.18,2,White Dwarf,Blue,B
2983,0.00024,0.094,16.09,0,Brown Dwarf,Red,M
2935,0.00014,0.116,18.89,0,Brown Dwarf,Red,M
24020,0.00159,0.0127,10.55,2,White Dwarf,Blue,B
16790,0.0014,0.0121,12.87,2,White Dwarf,Blue,B
7700,0.00011,0.0128,14.47,2,White Dwarf,Yellowish White,F
3834,272000.0,1183.0,-9.2,5,Hypergiant,Red,M
3750,283000.0,1260.0,-7.63,5,Hypergiant,Red,M
7220,0.00017,0.011,14.23,2,White Dwarf,White,F
2861,0.00019,0.0899,16.71,0,Brown Dwarf,Red,M
2600,0.0003,0.102,18.7,0,Brown Dwarf,Red,M
3257,0.0024,0.46,10.73,1,Red Dwarf,Red,M
6850,229000.0,1467.0,-10.07,5,Hypergiant,Red,G
20120,4720.0,6.78,-3.4,3,Main Sequence,Blue White,B
3511,0.00064,0.109,17.12,0,Brown Dwarf,Red,M
23440,537430.0,81.0,-5.975,4,Supergiant,Blue,O
3129,0.0122,0.3761,11.79,1,Red Dwarf,Red,M
26000,316000.0,1679.0,-9.1,5,Hypergiant,Blue,B
5112,0.63,0.876,4.68,3,Main Sequence,Orange-Red,K
19923,152000.0,73.0,-5.69,4,Supergiant,Blue,O
32489,648430.0,1948.5,-10.84,5,Hypergiant,Blue,O
2799,0.0018,0.16,14.79,1,Red Dwarf,Red,M
3496,0.00125,0.336,14.94,1,Red Dwarf,Red,M
24020,0.00159,0.0127,10.55,2,White Dwarf,Blue,B
3598,0.0011,0.56,14.26,1,Red Dwarf,Red,M
3270,150000.0,88.0,-6.02,4,Supergiant,Red,M
3600,240000.0,1190.0,-7.89,5,Hypergiant,Red,M
7282,131000.0,24.0,-7.22,4,Supergiant,Blue,O
3462,0.0053,0.148,11.47,1,Red Dwarf,Red,M
3542,0.0009,0.62,14.23,1,Red Dwarf,Red,M
7230,8e-05,0.013,14.08,2,White Dwarf,Pale yellow orange,F
2856,0.000896,0.0782,19.56,0,Brown Dwarf,Red,M
3324,0.0034,0.34,12.23,1,Red Dwarf,Red,M
12675,452000.0,83.0,-5.62,4,Supergiant,Blue,O
3570,320000.0,1480.0,-7.58,5,Hypergiant,Red,M
3450,174000.0,1284.0,-11.28,5,Hypergiant,Red,M
3459,100000.0,1289.0,-10.7,5,Hypergiant,Red,M
4077,0.085,0.795,6.228,3,Main Sequence,Yellowish,K
2994,0.0072,0.28,13.45,1,Red Dwarf,Red,M
23095,347820.0,86.0,-5.905,4,Supergiant,Blue,O
11000,170000.0,1779.0,-9.9,5,Hypergiant,Blue White,B
2774,0.00036,0.118,17.39,0,Brown Dwarf,Red,M
3129,0.0122,0.3761,11.79,1,Red Dwarf,Red,M
14245,231000.0,42.0,-6.12,4,Supergiant,Blue,O
25070,14500.0,5.92,-3.98,3,Main Sequence,Blue White,B
11567,251000.0,36.0,-6.245,4,Supergiant,Blue,O
23092,0.00132,0.0104,10.18,2,White Dwarf,Blue,B
16790,0.0014,0.0121,12.87,2,White Dwarf,Blue,B
28700,16790.0,6.4,-4.09,3,Main Sequence,Blue White,B
16790,0.0014,0.0121,12.87,2,White Dwarf,Blue,B
3570,320000.0,1480.0,-7.58,5,Hypergiant,Red,M
7100,0.00029,0.012,14.09,2,White Dwarf,White Yellow,F
3610,132000.0,1522.0,-10.86,5,Hypergiant,Red,M
9700,74.0,2.89,0.16,3,Main Sequence,White,B
3614,145000.0,1553.0,-7.71,5,Hypergiant,Red,M
3225,0.00076,0.121,19.63,0,Brown Dwarf,Red,M
3570,320000.0,1480.0,-7.58,5,Hypergiant,Red,M
3541,0.0013,0.256,14.33,1,Red Dwarf,Red,M
7100,0.00029,0.012,14.09,2,White Dwarf,White Yellow,F
2861,0.00019,0.0899,16.71,0,Brown Dwarf,Red,M
16790,0.0014,0.0121,12.87,2,White Dwarf,Blue,B
3200,195000.0,17.0,-7.22,4,Supergiant,Red,M
11790,0.00015,0.011,12.59,2,White Dwarf,Yellowish White,F
